alpha
receivable / bookvalue_ps
bookvalue_ps / receivable
retained_earnings / bookvalue_ps
bookvalue_ps / retained_earnings
return_assets / bookvalue_ps
bookvalue_ps / return_assets
return_equity / bookvalue_ps
bookvalue_ps / return_equity
revenue / bookvalue_ps
bookvalue_ps / revenue
sales / bookvalue_ps
bookvalue_ps / sales
sales_growth / bookvalue_ps
bookvalue_ps / sales_growth
sales_ps / bookvalue_ps
bookvalue_ps / sales_ps
SGA_expense / bookvalue_ps
bookvalue_ps / SGA_expense
working_capital / bookvalue_ps
bookvalue_ps / working_capital
cash / capex
capex / cash
cashflow / capex
capex / cashflow
cashflow_dividends / capex
capex / cashflow_dividends
cashflow_fin / capex
capex / cashflow_fin
cashflow_invst / capex
capex / cashflow_invst
cashflow_op / capex
capex / cashflow_op
cogs / capex
capex / cogs
current_ratio / capex
capex / current_ratio
debt / capex
capex / debt
debt_lt / capex
capex / debt_lt
debt_st / capex
capex / debt_st
depre_amort / capex
capex / depre_amort
EBIT / capex
capex / EBIT
EBITDA / capex
capex / EBITDA
employee / capex
capex / employee
enterprise_value / capex
capex / enterprise_value
eps / capex
capex / eps
equity / capex
capex / equity
goodwill / capex
capex / goodwill
income / capex
capex / income
income_beforeextra / capex
capex / income_beforeextra
income_tax / capex
capex / income_tax
interest_expense / capex
capex / interest_expense
inventory / capex
capex / inventory
inventory_turnover / capex
capex / inventory_turnover
invested_capital / capex
capex / invested_capital
liabilities / capex
capex / liabilities
liabilities_curr / capex
capex / liabilities_curr
operating_expense / capex
capex / operating_expense
operating_income / capex
capex / operating_income
ppent / capex
capex / ppent
pretax_income / capex
capex / pretax_income
rd_expense / capex
capex / rd_expense
receivable / capex
capex / receivable
retained_earnings / capex
capex / retained_earnings
return_assets / capex
capex / return_assets
return_equity / capex
capex / return_equity
revenue / capex
capex / revenue
sales / capex
capex / sales
sales_growth / capex
capex / sales_growth
sales_ps / capex
capex / sales_ps
SGA_expense / capex
capex / SGA_expense
working_capital / capex
capex / working_capital
cashflow / cash
cash / cashflow
cashflow_dividends / cash
cash / cashflow_dividends
cashflow_fin / cash
cash / cashflow_fin
cashflow_invst / cash
cash / cashflow_invst
cashflow_op / cash
cash / cashflow_op
cogs / cash
cash / cogs
current_ratio / cash
cash / current_ratio
debt / cash
cash / debt
debt_lt / cash
cash / debt_lt
debt_st / cash
cash / debt_st
depre_amort / cash
cash / depre_amort
EBIT / cash
cash / EBIT
EBITDA / cash
cash / EBITDA
employee / cash
cash / employee
enterprise_value / cash
cash / enterprise_value
eps / cash
cash / eps
equity / cash
cash / equity
goodwill / cash
cash / goodwill
income / cash
cash / income
income_beforeextra / cash
cash / income_beforeextra
income_tax / cash
cash / income_tax
interest_expense / cash
cash / interest_expense
inventory / cash
cash / inventory
inventory_turnover / cash
cash / inventory_turnover
invested_capital / cash
